feature,importance
numeric__EXT_SOURCE_3,0.19174481895764126
numeric__EXT_SOURCE_2,0.17135132251374424
numeric__DAYS_BIRTH,0.0828350697872084
numeric__AMT_CREDIT,0.06565752440188559
numeric__DAYS_EMPLOYED,0.06446892760046072
numeric__AMT_ANNUITY,0.061382820467134204
numeric__AMT_INCOME_TOTAL,0.04643326377803426
numeric__HOUR_APPR_PROCESS_START,0.03680637110035364
categorical__NAME_EDUCATION_TYPE_Higher education,0.020307448343722986
categorical__CODE_GENDER_M,0.015493626729599813
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,0.014830003249336737
categorical__CODE_GENDER_F,0.014170832179537986
numeric__CNT_CHILDREN,0.01380111666871326
categorical__NAME_INCOME_TYPE_Working,0.012626800960602926
categorical__NAME_FAMILY_STATUS_Married,0.010721311175506032
categorical__FLAG_OWN_CAR_N,0.008477401898453755
categorical__NAME_CONTRACT_TYPE_Cash loans,0.007894557960556306
categorical__ORGANIZATION_TYPE_XNA,0.0077547635780825415
categorical__NAME_INCOME_TYPE_Pensioner,0.006993083292804992
categorical__NAME_INCOME_TYPE_State servant,0.006951365611728152
categorical__FLAG_OWN_CAR_Y,0.006793956085309956
categorical__NAME_CONTRACT_TYPE_Revolving loans,0.006772410087995428
categorical__NAME_FAMILY_STATUS_Single / not married,0.006736384971703241
categorical__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.006557152669958275
categorical__NAME_INCOME_TYPE_Commercial associate,0.006300459938665143
categorical__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.00622029233780404
categorical__ORGANIZATION_TYPE_Business Entity Type 3,0.006211572031304698
categorical__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.00573281501674074
categorical__WEEKDAY_APPR_PROCESS_START_MONDAY,0.00570598037402446
categorical__NAME_HOUSING_TYPE_House / apartment,0.005608209306739085
categorical__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.005447101233525245
categorical__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.005376093738350811
categorical__NAME_FAMILY_STATUS_Civil marriage,0.005001112177145652
categorical__ORGANIZATION_TYPE_Self-employed,0.004487123616975833
categorical__NAME_FAMILY_STATUS_Separated,0.004281710842621421
categorical__ORGANIZATION_TYPE_School,0.0034861810837434285
categorical__NAME_HOUSING_TYPE_Municipal apartment,0.003300452820720862
categorical__ORGANIZATION_TYPE_Other,0.0031979819504914992
categorical__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0031399988801010118
categorical__NAME_FAMILY_STATUS_Widow,0.00299434684272705
categorical__NAME_HOUSING_TYPE_With parents,0.0028304021701686015
categorical__ORGANIZATION_TYPE_Government,0.002662678971088496
categorical__NAME_EDUCATION_TYPE_Incomplete higher,0.002221187609133969
categorical__ORGANIZATION_TYPE_Medicine,0.0021736062424494384
categorical__ORGANIZATION_TYPE_Kindergarten,0.0021151243085603417
categorical__ORGANIZATION_TYPE_Construction,0.0019033483489405186
categorical__ORGANIZATION_TYPE_Trade: type 7,0.0018162750703645074
categorical__ORGANIZATION_TYPE_Business Entity Type 2,0.0017529678249319862
categorical__ORGANIZATION_TYPE_Transport: type 4,0.0014549445783960193
categorical__ORGANIZATION_TYPE_Industry: type 3,0.0013781046483066538
categorical__ORGANIZATION_TYPE_Business Entity Type 1,0.0011091975624617845
categorical__ORGANIZATION_TYPE_Trade: type 3,0.0010371855649474906
categorical__ORGANIZATION_TYPE_Restaurant,0.0009831386157426244
categorical__ORGANIZATION_TYPE_Trade: type 2,0.0009317308310343911
categorical__NAME_EDUCATION_TYPE_Lower secondary,0.0009310822083715267
categorical__ORGANIZATION_TYPE_Military,0.000868019358133602
categorical__ORGANIZATION_TYPE_Agriculture,0.0008504930241654478
categorical__NAME_HOUSING_TYPE_Rented apartment,0.0007608100219046687
categorical__ORGANIZATION_TYPE_Security Ministries,0.0006921852328893411
categorical__ORGANIZATION_TYPE_Security,0.0006907475144525987
categorical__ORGANIZATION_TYPE_Industry: type 11,0.0006473143236232596
categorical__ORGANIZATION_TYPE_Industry: type 9,0.0006445235487101069
categorical__ORGANIZATION_TYPE_infrequent_sklearn,0.0005957277553350633
categorical__ORGANIZATION_TYPE_Housing,0.0005262457710063119
categorical__NAME_HOUSING_TYPE_Office apartment,0.00044257232366646414
